query,source
"It's a simple, light bomber-style jacket has a few pockets in the front. It's not heavy and bulky, just light enough to be sort of a wind breaker. Please provide some product recommendations for me","VACOS"
"This laptop will have High spec, good memory, lots of power, it will be a 2 in 1 , detatcgable keyboard, maybe sony, samsung, Lenovo, probably 4k capabilities, wide screen, at least 12 inches, I estimate Â£500 Please provide some product recommendations for me","VACOS"
"Are women more demanding these days? If so what problems is it causing for generation Y?","DebateQA"
"What is the worst that could happen with Trump being president?","DebateQA"
"In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?","HotpotQA"
"Black Book starred the actress and writer of what heritage?","HotpotQA"
"Is Bone Marrow transplantation used to treat acute myeloid leukemia (AML)?","Pinocchios"
"Did the entire state of Florida lead the nation last year with the most prison inmates committing tax fraud?","Pinocchios"
"Can I be source of energy that create universe?","QuoraQuestions"
"Is email marketing good for small businesses?","QuoraQuestions"
